Tier,Rank,Champion Name,Lane,Win Rate,Pick Rate,Ban Rate,Play Count
Emerald,10,뽀삐,서폿,52.08%,4.83%,16.93%,"17,655"
Emerald,11,스카너,정글,51.54%,7.34%,14.00%,"26,852"
Emerald,12,카르마,서폿,50.51%,15.63%,10.91%,"57,159"
Emerald,13,갈리오,미드,51.15%,9.48%,7.24%,"34,649"
Emerald,14,흐웨이,미드,50.68%,9.54%,10.43%,"34,898"
Emerald,15,워윅,탑,53.35%,2.93%,7.31%,"10,701"
Emerald,16,카시오페아,미드,53.18%,3.28%,14.85%,"12,011"
Emerald,17,카시오페아,탑,53.44%,2.09%,14.85%,"7,652"
Emerald,18,카서스,정글,51.58%,3.30%,17.09%,"12,062"
Emerald,19,브라움,서폿,51.43%,6.94%,7.55%,"25,376"
Emerald,20,뽀삐,탑,53.07%,2.13%,16.93%,"7,788"
Emerald,21,이렐리아,미드,50.97%,3.61%,38.55%,"13,197"
Emerald,22,샤코,정글,51.44%,3.60%,24.28%,"13,160"
Emerald,23,신지드,탑,54.09%,2.02%,0.42%,"7,369"
Emerald,24,탈리야,미드,53.11%,2.41%,0.70%,"8,806"
Emerald,25,쓰레쉬,서폿,50.37%,11.62%,3.44%,"42,504"
Emerald,26,탈론,미드,52.08%,3.51%,1.46%,"12,829"
Emerald,27,마오카이,서폿,52.07%,3.99%,2.19%,"14,593"
Emerald,28,이즈리얼,바텀,49.21%,39.81%,14.81%,"145,593"
Emerald,29,조이,미드,52.12%,3.45%,2.11%,"12,617"
Emerald,30,카시오페아,바텀,54.25%,0.83%,14.85%,"3,023"
Emerald,31,신드라,미드,51.59%,4.67%,1.41%,"17,072"
Emerald,32,신 짜오,정글,50.97%,7.44%,1.82%,"27,224"
Emerald,33,케넨,탑,52.35%,2.19%,1.66%,"8,011"
Emerald,34,애니,미드,53.43%,1.10%,0.14%,"4,035"
Emerald,35,갱플랭크,탑,50.92%,4.69%,2.39%,"17,163"
Emerald,36,징크스,바텀,50.76%,17.38%,2.04%,"63,571"
Emerald,37,애니비아,미드,52.60%,1.73%,0.93%,"6,336"
Emerald,38,암베사,탑,49.24%,6.93%,12.29%,"25,324"
Emerald,39,그라가스,탑,51.22%,4.69%,1.39%,"17,152"
Emerald,40,레오나,서폿,50.41%,7.08%,5.29%,"25,880"
Emerald,41,녹턴,정글,50.93%,6.86%,7.22%,"25,094"
Emerald,42,빅토르,미드,49.23%,11.03%,19.74%,"40,353"
Emerald,43,파이크,서폿,49.46%,7.12%,36.75%,"26,052"
Emerald,44,피들스틱,서폿,53.14%,0.87%,0.93%,"3,184"
Emerald,45,제이스,미드,51.32%,1.79%,25.49%,"6,545"
Emerald,46,바이,정글,50.08%,9.95%,2.87%,"36,376"
Emerald,47,리븐,탑,50.96%,4.12%,1.13%,"15,052"
Emerald,48,피오라,탑,50.03%,3.73%,4.26%,"13,649"
Emerald,49,벨베스,정글,51.63%,2.08%,1.38%,"7,597"
Emerald,50,말자하,미드,51.99%,3.22%,0.98%,"11,767"
Emerald,51,아우렐리온 솔,미드,52.51%,1.63%,0.18%,"5,951"
Emerald,52,니코,미드,52.88%,1.11%,1.52%,"4,041"
Emerald,53,제라스,미드,50.41%,4.82%,8.05%,"17,618"
Emerald,54,킨드레드,정글,51.16%,3.38%,0.91%,"12,378"
Emerald,55,럼블,탑,50.62%,3.62%,1.97%,"13,221"
Emerald,56,벡스,미드,51.06%,2.88%,3.94%,"10,544"
Emerald,57,아크샨,미드,51.91%,1.99%,1.08%,"7,264"
Emerald,58,드레이븐,바텀,51.28%,2.88%,4.40%,"10,543"
Emerald,59,누누와 윌럼프,정글,52.02%,2.23%,0.60%,"8,143"
Emerald,60,키아나,미드,51.62%,2.16%,0.54%,"7,902"
Emerald,61,아트록스,탑,49.20%,8.37%,5.98%,"30,625"
Emerald,62,마스터 이,정글,50.77%,4.62%,2.10%,"16,905"
Emerald,63,사일러스,미드,48.79%,13.54%,15.15%,"49,505"
Emerald,64,올라프,탑,52.11%,1.82%,0.96%,"6,663"
Emerald,65,니코,서폿,50.86%,2.93%,1.52%,"10,729"
Emerald,66,레넥톤,탑,49.50%,5.27%,4.67%,"19,259"
Emerald,67,세트,탑,51.04%,4.45%,0.66%,"16,263"
Emerald,68,세나,서폿,50.95%,4.26%,0.61%,"15,580"
Emerald,69,닐라,바텀,53.53%,0.89%,0.57%,"3,254"
Emerald,70,아리,미드,50.17%,7.21%,0.89%,"26,365"
Emerald,71,티모,탑,50.73%,2.94%,4.26%,"10,762"
Emerald,72,오공,정글,50.43%,7.15%,4.09%,"26,132"
